50:5,1,4,5,2,8,7,7,8,1,2,7,5,7,7,5,1,5,6,3,8,2,4,6,8,7,6,2,4,5
51:4,8,6,1,1,6,5,6,3,1,6,8,6,3,4,4,2,4,3,5,4,7,6,5,4,1,2,2,4,6
52:1,6,3,3,5,6,9,9,6,2,3,4,1,1,5,6,2,9,3,3,4,7,6,7,5,4,5,3,2,6
53:6,8,2,3,1,3,2,1,5,4,1,6,2,6,2,8,5,7,7,6,1,1,5,2,3,4,1,6,8,4
54:4,6,3,9,9,7,9,6,8,5,1,5,2,7,1,4,7,3,9,7,7,7,3,8,3,5,9,5,6,9
55:8,6,1,1,6,2,4,8,6,6,9,3,9,4,9,4,3,7,4,2,3,9,3,8,1,9,9,5,5,4
56:7,1,4,3,2,7,2,2,1,9,1,3,5,4,1,1,1,5,6,9,4,1,3,8,2,7,8,3,4,8
57:4,6,2,6,9,2,6,5,7,7,8,2,9,5,7,6,9,7,9,1,8,9,7,5,4,5,8,7,8,1
58:6,6,4,2,9,8,3,8,8,4,2,1,5,9,1,5,9,8,5,6,6,4,2,6,5,1,7,5,2,7
59:7,4,9,5,1,3,2,8,2,2,4,2,3,2,2,6,3,1,2,3,5,8,5,9,1,4,9,4,2,2
60:7,8,5,5,3,3,5,8,5,9,3,8,6,2,8,6,6,2,2,6,5,5,1,7,1,2,8,8,5,8
61:8,8,2,2,9,1,1,7,1,1,9,1,4,8,2,7,5,9,6,3,2,5,3,2,4,3,1,9,1,4
62:1,8,7,4,1,8,6,7,5,4,9,9,4,7,1,4,6,6,9,6,8,8,9,7,6,6,1,3,8,3
63:6,7,8,4,3,4,9,7,8,7,4,6,9,2,7,7,3,4,8,5,7,1,2,1,4,1,2,5,3,9
64:1,3,5,4,7,1,3,7,9,8,3,9,3,6,2,6,4,1,5,7,5,8,3,4,5,2,7,4,3,8
65:4,4,2,3,7,7,3,4,4,7,4,4,1,8,1,7,7,7,9,2,6,7,5,7,4,8,2,4,5,5
66:7,1,9,5,4,8,5,2,7,3,7,6,8,1,9,9,7,5,7,1,9,3,7,8,6,2,5,6,1,4
67:2,6,8,2,2,5,6,3,6,1,8,1,7,2,9,8,8,3,7,2,6,7,7,9,6,2,8,7,2,4
68:1,2,4,3,5,9,9,5,3,5,3,7,3,3,6,9,1,7,4,6,7,5,2,3,7,8,4,5,5,1
69:4,6,3,6,3,5,4,5,5,4,7,6,6,6,8,5,2,6,6,8,8,8,8,4,2,6,3,8,5,4
70:2,5,2,7,3,9,2,3,1,6,3,7,1,1,3,3,2,6,9,9,1,9,8,5,1,6,9,3,1,9
71:1,3,6,6,9,3,6,8,8,8,4,1,7,3,5,2,7,4,8,7,9,5,2,8,4,4,2,1,5,5
72:5,5,1,8,7,1,9,2,4,2,8,7,2,6,6,2,2,7,2,4,6,9,3,4,7,6,9,7,8,1
73:4,3,5,6,6,5,7,2,4,6,6,4,2,4,4,2,6,7,6,5,1,2,4,6,7,3,1,7,8,4
74:2,7,8,9,1,5,1,4,7,1,4,9,6,9,3,7,6,9,9,6,6,1,8,7,2,9,8,8,2,2
75:2,6,5,7,4,2,4,8,2,2,5,5,1,6,2,4,4,1,3,9,3,3,4,5,7,2,6,9,3,6
76:8,7,6,8,7,9,4,1,3,3,5,7,8,2,7,5,2,5,3,3,8,7,1,7,5,4,4,3,7,5
77:2,1,1,6,4,4,9,2,2,6,2,1,4,8,5,3,2,3,9,7,3,5,8,9,4,2,2,4,5,5
78:3,1,8,9,4,1,5,9,6,9,8,4,3,2,2,2,2,5,8,5,6,6,8,7,7,3,9,9,5,3
79:3,4,4,7,3,7,4,5,1,7,1,8,1,7,4,8,7,7,4,7,4,2,9,2,6,1,5,9,7,9
80:3,9,9,5,1,8,2,3,1,5,1,4,5,9,6,6,7,3,7,1,2,2,1,5,9,7,6,8,7,9
81:5,1,9,9,1,1,5,4,5,1,2,5,6,5,9,7,1,4,7,5,1,7,8,8,2,4,9,3,7,1
82:2,8,4,8,8,4,6,9,7,3,4,9,3,7,3,5,2,6,5,6,5,3,1,7,8,4,5,5,2,7
83:1,4,3,3,2,3,6,2,4,2,2,4,1,4,1,5,3,8,9,5,6,4,2,6,6,5,9,5,8,1
84:7,6,2,3,6,4,8,9,5,7,7,3,5,7,7,6,1,7,9,6,6,7,1,5,4,2,2,4,4,7
85:4,5,7,5,4,7,8,4,1,5,9,5,7,5,8,3,8,1,7,4,6,8,5,5,5,2,2,8,8,8
86:7,5,6,5,5,1,5,2,7,1,2,8,7,6,7,2,4,4,1,9,5,1,8,6,9,5,1,4,9,7
87:2,4,5,6,8,8,7,3,6,6,7,2,2,6,6,7,3,4,3,8,1,1,8,5,2,4,6,4,9,8
88:3,2,9,4,6,6,3,4,3,7,7,2,8,4,1,4,4,6,4,8,2,3,3,8,5,5,7,7,8,3
89:1,8,1,2,5,9,7,7,6,4,1,1,5,2,2,5,9,6,6,2,6,5,3,1,6,8,6,8,6,8
90:1,8,2,1,6,2,3,2,4,3,9,5,9,7,7,8,1,5,7,2,9,3,6,8,2,3,9,3,8,3
91:5,3,9,3,9,2,1,5,2,8,5,6,9,7,2,6,2,6,4,1,2,6,2,6,6,9,8,5,2,4
92:4,9,4,1,5,3,8,7,5,9,4,3,9,1,5,9,1,5,8,9,9,2,3,7,9,1,8,1,5,7
93:5,3,9,5,9,1,7,9,7,4,8,6,6,2,3,7,3,5,6,8,9,9,9,2,1,2,9,8,5,4
94:9,9,8,8,8,4,5,3,2,3,1,1,4,8,9,4,4,8,9,8,7,5,9,9,6,3,6,3,5,2
95:8,7,7,5,1,8,3,9,7,7,8,8,1,1,1,9,8,1,6,3,7,5,3,8,2,7,3,5,7,3
96:1,7,5,8,4,3,3,2,1,2,6,7,3,9,8,3,6,6,1,4,4,4,3,3,4,8,6,4,5,9
97:2,8,6,4,2,4,2,7,1,6,2,3,9,5,6,3,9,7,9,9,9,3,7,9,6,2,1,4,9,1
98:3,1,4,1,7,6,1,7,6,4,7,9,4,3,1,6,5,8,3,5,8,8,6,8,4,3,1,3,4,7
99:6,1,5,2,3,6,7,6,1,2,2,2,8,7,4,3,6,8,5,9,3,1,8,6,2,8,7,1,8,8
100:8,8,9,8,4,2,4,4,3,6,9,1,4,9,3,4,6,1,5,5,7,7,2,7,6,3,4,7,6,6
